campaign_id,campaign_name,platform,industry,country,date,impressions,clicks,spend_usd,conversions,revenue,roas,ctr,cpc,cpa
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,Germany,2024-08-10,21389.0,941.0,752.8,46,8479.43,11.26,0.044,0.8,16.37
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,USA,2024-08-12,16246.0,448.0,891.52,8,1955.09,2.19,0.0276,1.99,111.44
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,Germany,2024-06-05,15789.0,423.0,765.63,7,1223.95,1.6,0.0268,1.81,109.38
Search_Edtech,Search - Edtech,Meta Ads,EdTech,Australia,2024-02-20,180399.0,6025.0,4217.5,191,17456.79,4.14,0.0334,0.7,22.08
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,UAE,2024-05-16,62545.0,606.0,1187.76,37,5627.66,4.74,0.0097,1.96,32.1
Display_Edtech,Display - Edtech,Meta Ads,EdTech,Australia,2024-07-07,67823.0,2075.0,3797.25,26,4093.91,1.08,0.0306,1.83,146.05
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,India,2024-06-23,164937.0,4453.0,4809.24,129,35127.5,7.3,0.027,1.08,37.28
Search_Edtech,Search - Edtech,Meta Ads,EdTech,UK,2024-12-14,114575.0,2039.0,1080.67,113,10656.96,9.86,0.0178,0.53,9.56
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,Germany,2024-10-08,58276.0,1183.0,1762.67,89,20273.71,11.5,0.0203,1.49,19.81
Video_Fintech,Video - Fintech,Meta Ads,Fintech,Canada,2024-08-16,91123.0,1567.0,3651.11,64,5119.1,1.4,0.0172,2.33,57.05
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,Australia,2024-05-28,16344.0,452.0,406.8,5,1102.53,2.71,0.0277,0.9,81.36
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,India,2024-06-07,57375.0,843.0,1357.23,40,9739.81,7.18,0.0147,1.61,33.93
Search_Edtech,Search - Edtech,Meta Ads,EdTech,USA,2024-09-28,90431.0,1853.0,3150.1,57,14834.93,4.71,0.0205,1.7,55.26
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,USA,2024-03-13,140566.0,5046.0,3128.52,384,59980.19,19.17,0.0359,0.62,8.15
Search_Edtech,Search - Edtech,Meta Ads,EdTech,Germany,2024-02-28,133583.0,3954.0,2570.1,255,31756.12,12.36,0.0296,0.65,10.08
Display_Healthcare,Display - Healthcare,Meta Ads,Healthcare,UK,2024-09-23,88560.0,1319.0,685.88,81,8584.02,12.52,0.0149,0.52,8.47
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,UAE,2024-08-24,,,,233,45906.84,6.41,0.0387,1.77,30.75
Shopping_Edtech,Shopping - Edtech,Meta Ads,EdTech,Canada,2024-08-14,157499.0,1574.0,2770.24,45,13465.06,4.86,0.01,1.76,61.56
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,Australia,2024-09-27,46846.0,983.0,707.76,11,2501.87,3.53,0.021,0.72,64.34
Shopping_Edtech,Shopping - Edtech,Meta Ads,EdTech,India,2024-05-24,172516.0,6314.0,4546.08,335,82096.8,18.06,0.0366,0.72,13.57
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,India,2024-08-23,187099.0,2469.0,2049.27,103,3413.17,1.67,0.0132,0.83,19.9
Display_Edtech,Display - Edtech,Meta Ads,EdTech,Germany,2024-06-09,79441.0,3082.0,1633.46,100,29391.59,17.99,0.0388,0.53,16.33
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,Australia,2024-01-07,182235.0,5047.0,3734.78,260,53450.65,14.31,0.0277,0.74,14.36
Video_Saas,Video - Saas,Meta Ads,SaaS,Canada,2024-02-24,128629.0,2109.0,2720.61,168,49256.62,18.1,0.0164,1.29,16.19
Display_Fintech,Display - Fintech,Meta Ads,Fintech,Canada,2024-04-02,21309.0,432.0,717.12,15,4449.98,6.21,0.0203,1.66,47.81
Search_Edtech,Search - Edtech,Meta Ads,EdTech,UK,2024-08-18,50893.0,1124.0,1584.84,29,2707.5,1.71,0.0221,1.41,54.65
Search_Edtech,Search - Edtech,Meta Ads,EdTech,Germany,2024-07-25,154381.0,1698.0,3141.3,70,19750.24,6.29,0.011,1.85,44.88
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,Germany,2024-12-01,6969.0,176.0,190.08,10,2562.91,13.48,0.0253,1.08,19.01
Video_Edtech,Video - Edtech,Meta Ads,EdTech,India,2024-01-19,43467.0,991.0,1882.9,25,3146.23,1.67,0.0228,1.9,75.32
Video_Fintech,Video - Fintech,Meta Ads,Fintech,Australia,2024-12-07,66929.0,1539.0,1862.19,38,9540.22,5.12,0.023,1.21,49.01
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,Germany,2024-07-09,76229.0,1562.0,1577.62,30,4290.5,2.72,0.0205,1.01,52.59
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,UK,2024-07-14,161193.0,4916.0,6734.92,377,91408.9,13.57,0.0305,1.37,17.86
Search_Fintech,Search - Fintech,Meta Ads,Fintech,UAE,2024-03-27,178063.0,1851.0,832.95,64,7044.13,8.46,0.0104,0.45,13.01
Display_Saas,Display - Saas,Meta Ads,SaaS,Canada,2024-02-18,187051.0,6284.0,12630.84,493,94906.46,7.51,0.0336,2.01,25.62
Video_Edtech,Video - Edtech,Meta Ads,EdTech,UK,2024-01-11,152977.0,5491.0,7412.85,147,9232.39,1.25,0.0359,1.35,50.43
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,Australia,2024-04-27,88986.0,1308.0,981.0,80,21439.34,21.85,0.0147,0.75,12.26
Display_Healthcare,Display - Healthcare,Meta Ads,Healthcare,UK,2024-02-07,69429.0,2430.0,3863.7,119,21584.01,5.59,0.035,1.59,32.47
Display_Saas,Display - Saas,Meta Ads,SaaS,Canada,2024-06-07,196675.0,4031.0,7941.07,186,27686.79,3.49,0.0205,1.97,42.69
Display_Edtech,Display - Edtech,Meta Ads,EdTech,Canada,2024-12-24,150544.0,2890.0,4913.0,170,47769.42,9.72,0.0192,1.7,28.9
Search_Edtech,Search - Edtech,Meta Ads,EdTech,India,2024-10-23,,,,30,3133.33,3.47,0.0163,0.37,30.06
Display_Saas,Display - Saas,Meta Ads,SaaS,USA,2024-11-25,,,,29,1746.46,3.34,0.0251,1.15,18.04
Video_Edtech,Video - Edtech,Meta Ads,EdTech,UK,2024-01-08,127775.0,3871.0,2941.96,159,28717.22,9.76,0.0303,0.76,18.5
Search_Edtech,Search - Edtech,Meta Ads,EdTech,USA,2024-06-02,37994.0,1379.0,1461.74,58,7343.12,5.02,0.0363,1.06,25.2
Video_Edtech,Video - Edtech,Meta Ads,EdTech,Germany,2024-10-12,74615.0,2327.0,2559.7,129,25496.94,9.96,0.0312,1.1,19.84
Display_Fintech,Display - Fintech,Meta Ads,Fintech,Canada,2024-03-31,151295.0,2163.0,3417.54,85,3173.67,0.93,0.0143,1.58,40.21
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,Australia,2024-09-11,28567.0,999.0,1688.31,68,13037.25,7.72,0.035,1.69,24.83
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,Canada,2024-02-07,101019.0,2515.0,4250.35,72,11353.12,2.67,0.0249,1.69,59.03
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,India,2024-07-08,22543.0,333.0,496.17,12,642.18,1.29,0.0148,1.49,41.35
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,Canada,2024-02-28,,,,64,17165.43,8.07,0.0089,2.0,33.25
Search_Edtech,Search - Edtech,Meta Ads,EdTech,UAE,2024-08-27,158504.0,4897.0,2105.71,255,54921.72,26.08,0.0309,0.43,8.26
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,Australia,2024-12-22,79964.0,1487.0,1591.09,22,3882.65,2.44,0.0186,1.07,72.32
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,Canada,2024-05-05,76155.0,3548.0,4435.0,243,30659.34,6.91,0.0466,1.25,18.25
Search_Edtech,Search - Edtech,Meta Ads,EdTech,India,2024-05-28,49789.0,622.0,1293.76,48,7704.96,5.96,0.0125,2.08,26.95
Display_Edtech,Display - Edtech,Meta Ads,EdTech,India,2024-02-22,19743.0,619.0,773.75,41,9219.46,11.92,0.0314,1.25,18.87
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,Australia,2024-01-23,,,,194,39560.54,8.96,0.0331,1.47,22.75
Shopping_E-Commerce,Shopping - E-Commerce,Meta Ads,E-commerce,Germany,2024-04-18,112692.0,2096.0,4757.92,89,16587.58,3.49,0.0186,2.27,53.46
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,Germany,2024-06-30,59131.0,1425.0,1482.0,66,19372.57,13.07,0.0241,1.04,22.45
Search_Edtech,Search - Edtech,Meta Ads,EdTech,Australia,2024-11-02,,,,379,73104.85,20.21,0.032,0.72,9.54
Shopping_Edtech,Shopping - Edtech,Meta Ads,EdTech,UK,2024-01-04,117217.0,2133.0,2751.57,129,25455.36,9.25,0.0182,1.29,21.33
Display_Saas,Display - Saas,Meta Ads,SaaS,USA,2024-01-05,10939.0,113.0,133.34,6,1684.43,12.63,0.0104,1.18,22.22
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,UAE,2024-01-10,73323.0,1928.0,3296.88,121,33634.99,10.2,0.0263,1.71,27.25
Shopping_E-Commerce,Shopping - E-Commerce,Meta Ads,E-commerce,Canada,2024-12-22,167917.0,6246.0,3747.6,413,25997.62,6.94,0.0372,0.6,9.07
Video_Fintech,Video - Fintech,Meta Ads,Fintech,India,2024-09-04,27931.0,608.0,924.16,10,1389.72,1.5,0.0218,1.52,92.42
Display_Edtech,Display - Edtech,Meta Ads,EdTech,USA,2024-08-06,131155.0,4052.0,5024.48,209,15982.2,3.18,0.0309,1.24,24.04
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,Germany,2024-09-27,74212.0,1528.0,2230.88,85,21331.58,9.56,0.0206,1.46,26.25
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,India,2024-12-23,102088.0,4481.0,3271.13,316,87569.74,26.77,0.0439,0.73,10.35
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,India,2024-07-27,,,,70,3191.14,1.48,0.0346,0.83,30.88
Shopping_Edtech,Shopping - Edtech,Meta Ads,EdTech,Germany,2024-11-08,81848.0,1694.0,2185.26,58,7573.87,3.47,0.0207,1.29,37.68
Display_Edtech,Display - Edtech,Meta Ads,EdTech,UK,2024-10-26,115986.0,1357.0,2008.36,79,8002.44,3.98,0.0117,1.48,25.42
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,Germany,2024-02-17,16094.0,616.0,1410.64,40,8923.08,6.33,0.0383,2.29,35.27
Video_Fintech,Video - Fintech,Meta Ads,Fintech,UAE,2024-06-03,182718.0,2558.0,3478.88,124,28756.15,8.27,0.014,1.36,28.06
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,India,2024-01-13,24404.0,710.0,433.1,10,923.15,2.13,0.0291,0.61,43.31
Search_Edtech,Search - Edtech,Meta Ads,EdTech,UK,2024-02-08,151480.0,2514.0,5178.84,72,4076.45,0.79,0.0166,2.06,71.93
Search_Edtech,Search - Edtech,Meta Ads,EdTech,USA,2024-05-06,199472.0,5286.0,6977.52,192,17789.77,2.55,0.0265,1.32,36.34
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,India,2024-12-24,175591.0,5864.0,2580.16,333,52097.57,20.19,0.0334,0.44,7.75
Video_Saas,Video - Saas,Meta Ads,SaaS,Canada,2024-09-06,98079.0,3226.0,7032.68,44,1401.71,0.2,0.0329,2.18,159.83
Display_Healthcare,Display - Healthcare,Meta Ads,Healthcare,Germany,2024-08-14,73309.0,2323.0,1393.8,39,1966.71,1.41,0.0317,0.6,35.74
Display_Healthcare,Display - Healthcare,Meta Ads,Healthcare,Australia,2024-11-05,188804.0,5267.0,11060.7,64,10138.3,0.92,0.0279,2.1,172.82
Display_Fintech,Display - Fintech,Meta Ads,Fintech,UK,2024-05-25,80139.0,2436.0,3848.88,37,4653.12,1.21,0.0304,1.58,104.02
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,Germany,2024-12-25,51999.0,930.0,1116.0,13,1777.36,1.59,0.0179,1.2,85.85
Search_Fintech,Search - Fintech,Meta Ads,Fintech,India,2024-08-17,194073.0,6346.0,11422.8,168,9921.38,0.87,0.0327,1.8,67.99
Shopping_Edtech,Shopping - Edtech,Meta Ads,EdTech,Germany,2024-05-20,121477.0,1834.0,898.66,98,10542.66,11.73,0.0151,0.49,9.17
Video_Edtech,Video - Edtech,Meta Ads,EdTech,UK,2024-08-11,46743.0,1523.0,1218.4,51,5825.03,4.78,0.0326,0.8,23.89
Display_Edtech,Display - Edtech,Meta Ads,EdTech,USA,2024-04-05,69892.0,2851.0,2223.78,52,11407.42,5.13,0.0408,0.78,42.77
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,India,2024-07-12,12452.0,280.0,344.4,18,4734.22,13.75,0.0225,1.23,19.13
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,India,2024-04-04,156317.0,5924.0,4206.04,464,64623.96,15.36,0.0379,0.71,9.06
Shopping_Edtech,Shopping - Edtech,Meta Ads,EdTech,UAE,2024-10-02,84526.0,2214.0,974.16,117,30360.22,31.17,0.0262,0.44,8.33
Display_Fintech,Display - Fintech,Meta Ads,Fintech,Germany,2024-08-02,163124.0,4273.0,3888.43,239,71554.77,18.4,0.0262,0.91,16.27
Display_Edtech,Display - Edtech,Meta Ads,EdTech,UAE,2024-06-21,150486.0,6230.0,7538.3,243,55217.61,7.32,0.0414,1.21,31.02
Display_Saas,Display - Saas,Meta Ads,SaaS,USA,2024-07-07,74922.0,1333.0,1759.56,95,17171.74,9.76,0.0178,1.32,18.52
Video_Saas,Video - Saas,Meta Ads,SaaS,Canada,2024-03-08,46850.0,983.0,1553.14,38,10968.52,7.06,0.021,1.58,40.87
Shopping_Edtech,Shopping - Edtech,Meta Ads,EdTech,Canada,2024-04-28,17720.0,287.0,404.67,4,597.18,1.48,0.0162,1.41,101.17
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,Germany,2024-11-29,61652.0,2614.0,3345.92,133,20303.14,6.07,0.0424,1.28,25.16
Display_Edtech,Display - Edtech,Meta Ads,EdTech,USA,2024-07-06,194933.0,4054.0,8229.62,197,9992.76,1.21,0.0208,2.03,41.77
Video_Fintech,Video - Fintech,Meta Ads,Fintech,UAE,2024-03-28,103162.0,1485.0,1440.45,35,5899.5,4.1,0.0144,0.97,41.16
Video_Fintech,Video - Fintech,Meta Ads,Fintech,USA,2024-01-16,143421.0,3542.0,3046.12,181,26273.04,8.63,0.0247,0.86,16.83
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,Australia,2024-10-13,71537.0,1809.0,2984.85,57,6227.5,2.09,0.0253,1.65,52.37
Video_Saas,Video - Saas,Meta Ads,SaaS,Canada,2024-03-22,168402.0,5237.0,4451.45,188,43774.92,9.83,0.0311,0.85,23.68
Video_Fintech,Video - Fintech,Meta Ads,Fintech,Canada,2024-09-02,76916.0,2761.0,1960.31,64,14368.24,7.33,0.0359,0.71,30.63
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,Canada,2024-02-17,150631.0,5648.0,10957.12,111,21671.9,1.98,0.0375,1.94,98.71
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,UAE,2024-09-01,150698.0,4581.0,2336.31,285,32525.45,13.92,0.0304,0.51,8.2
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,USA,2024-08-03,110603.0,2377.0,1640.13,62,2761.12,1.68,0.0215,0.69,26.45
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,UK,2024-07-16,167002.0,3406.0,6232.98,76,10328.31,1.66,0.0204,1.83,82.01
Display_Fintech,Display - Fintech,Meta Ads,Fintech,Australia,2024-04-14,53128.0,1678.0,2533.78,66,19225.18,7.59,0.0316,1.51,38.39
Video_Edtech,Video - Edtech,Meta Ads,EdTech,USA,2024-02-01,65942.0,2044.0,2146.2,48,6784.27,3.16,0.031,1.05,44.71
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,India,2024-06-05,79462.0,2058.0,1811.04,146,7813.85,4.31,0.0259,0.88,12.4
Display_Saas,Display - Saas,Meta Ads,SaaS,India,2024-04-01,151864.0,4358.0,7365.02,175,45340.29,6.16,0.0287,1.69,42.09
Shopping_E-Commerce,Shopping - E-Commerce,Meta Ads,E-commerce,India,2024-10-25,107489.0,2515.0,3521.0,166,18411.15,5.23,0.0234,1.4,21.21
Video_Edtech,Video - Edtech,Meta Ads,EdTech,USA,2024-01-02,138639.0,2204.0,3967.2,154,35803.07,9.02,0.0159,1.8,25.76
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,UK,2024-04-29,26751.0,489.0,943.77,8,791.56,0.84,0.0183,1.93,117.97
Video_Saas,Video - Saas,Meta Ads,SaaS,UAE,2024-09-02,173337.0,3189.0,6473.67,224,43055.91,6.65,0.0184,2.03,28.9
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,Canada,2024-07-28,99948.0,1389.0,1444.56,67,4987.6,3.45,0.0139,1.04,21.56
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,Australia,2024-01-27,176459.0,3670.0,7009.7,65,2483.8,0.35,0.0208,1.91,107.84
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,Australia,2024-09-02,49980.0,1664.0,3294.72,37,6236.77,1.89,0.0333,1.98,89.05
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,Germany,2024-01-07,98944.0,1850.0,2627.0,78,17285.68,6.58,0.0187,1.42,33.68
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,India,2024-08-08,8626.0,242.0,273.46,18,3013.54,11.02,0.0281,1.13,15.19
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,Germany,2024-01-05,,,,32,4757.82,6.85,0.0178,0.44,21.71
Video_Edtech,Video - Edtech,Meta Ads,EdTech,Germany,2024-06-20,29502.0,604.0,972.44,30,5842.59,6.01,0.0205,1.61,32.41
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,USA,2024-07-14,111802.0,2247.0,3707.55,163,6163.84,1.66,0.0201,1.65,22.75
Video_Edtech,Video - Edtech,Meta Ads,EdTech,UK,2024-05-12,174579.0,3247.0,4318.51,187,41760.07,9.67,0.0186,1.33,23.09
Video_Saas,Video - Saas,Meta Ads,SaaS,India,2024-02-14,83137.0,2045.0,2065.45,37,1798.59,0.87,0.0246,1.01,55.82
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,UK,2024-01-04,122897.0,2040.0,1570.8,159,45753.83,29.13,0.0166,0.77,9.88
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,USA,2024-02-26,125871.0,3083.0,5302.76,185,27759.15,5.23,0.0245,1.72,28.66
Display_Saas,Display - Saas,Meta Ads,SaaS,UAE,2024-05-07,70030.0,1470.0,2469.6,90,9384.9,3.8,0.021,1.68,27.44
Video_Edtech,Video - Edtech,Meta Ads,EdTech,India,2024-01-03,149375.0,6109.0,13317.62,89,22418.8,1.68,0.0409,2.18,149.64
Search_Fintech,Search - Fintech,Meta Ads,Fintech,Canada,2024-06-07,123171.0,3756.0,6986.16,52,7553.6,1.08,0.0305,1.86,134.35
Search_Saas,Search - Saas,Meta Ads,SaaS,UK,2024-03-16,52779.0,596.0,649.64,35,3583.95,5.52,0.0113,1.09,18.56
Search_Fintech,Search - Fintech,Meta Ads,Fintech,USA,2024-04-26,165371.0,2993.0,4519.43,32,8918.68,1.97,0.0181,1.51,141.23
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,USA,2024-10-08,164876.0,5820.0,4306.8,463,73917.74,17.16,0.0353,0.74,9.3
Display_Saas,Display - Saas,Meta Ads,SaaS,USA,2024-05-13,163253.0,1779.0,907.29,121,18762.73,20.68,0.0109,0.51,7.5
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,India,2024-10-04,120631.0,1532.0,1179.64,114,25286.78,21.44,0.0127,0.77,10.35
Display_Fintech,Display - Fintech,Meta Ads,Fintech,Australia,2024-04-29,12610.0,197.0,130.02,11,2637.16,20.28,0.0157,0.66,11.82
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,UK,2024-01-12,62676.0,595.0,1439.9,32,1319.08,0.92,0.0095,2.42,45.0
Display_Saas,Display - Saas,Meta Ads,SaaS,USA,2024-10-20,78302.0,900.0,441.0,52,6354.23,14.41,0.0115,0.49,8.48
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,India,2024-06-17,127872.0,2953.0,1742.27,150,15282.38,8.77,0.0231,0.59,11.62
Video_Edtech,Video - Edtech,Meta Ads,EdTech,USA,2024-03-06,104976.0,1238.0,1881.76,16,4162.98,2.21,0.0118,1.52,117.61
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,Canada,2024-08-28,25991.0,309.0,469.68,14,2306.63,4.91,0.0119,1.52,33.55
Video_Edtech,Video - Edtech,Meta Ads,EdTech,UAE,2024-10-31,140453.0,4213.0,4592.17,56,4347.77,0.95,0.03,1.09,82.0
Display_Saas,Display - Saas,Meta Ads,SaaS,USA,2024-09-14,152680.0,6214.0,13049.4,283,13261.37,1.02,0.0407,2.1,46.11
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,UK,2024-11-28,116030.0,4177.0,3759.3,188,8691.11,2.31,0.036,0.9,20.0
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,UAE,2024-05-10,29485.0,1341.0,1890.81,46,4626.55,2.45,0.0455,1.41,41.1
Search_E-Commerce,Search - E-Commerce,Meta Ads,E-commerce,USA,2024-05-06,177224.0,2374.0,3727.18,142,18303.42,4.91,0.0134,1.57,26.25
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,USA,2024-08-05,46548.0,1047.0,1622.85,28,7800.92,4.81,0.0225,1.55,57.96
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,USA,2024-12-08,6875.0,158.0,289.14,2,386.94,1.34,0.0231,1.83,144.57
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,Canada,2024-06-02,52013.0,1565.0,1611.95,23,6481.69,4.02,0.0301,1.03,70.08
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,UK,2024-04-15,106505.0,1022.0,1839.6,27,2467.18,1.34,0.0096,1.8,68.13
Video_Edtech,Video - Edtech,Meta Ads,EdTech,USA,2024-04-14,33549.0,1224.0,930.24,89,26101.34,28.06,0.0365,0.76,10.45
Video_Edtech,Video - Edtech,Meta Ads,EdTech,Germany,2024-11-12,27419.0,1192.0,2181.36,38,5935.39,2.72,0.0435,1.83,57.4
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,India,2024-11-14,129746.0,4891.0,8852.71,117,26101.17,2.95,0.0377,1.81,75.66
Search_Edtech,Search - Edtech,Meta Ads,EdTech,UAE,2024-05-18,14491.0,259.0,440.3,3,260.32,0.59,0.0179,1.7,146.77
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,UAE,2024-03-13,156043.0,4478.0,5955.74,193,22322.38,3.75,0.0287,1.33,30.86
Video_Fintech,Video - Fintech,Meta Ads,Fintech,UK,2024-10-09,7402.0,91.0,189.28,6,1105.17,5.84,0.0124,2.08,31.55
Display_Healthcare,Display - Healthcare,Meta Ads,Healthcare,Australia,2024-03-07,92793.0,1261.0,466.57,80,13024.34,27.92,0.0136,0.37,5.83
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,India,2024-07-10,134614.0,3190.0,5678.2,188,41736.54,7.35,0.0237,1.78,30.2
Search_Fintech,Search - Fintech,Meta Ads,Fintech,Australia,2024-07-14,165552.0,4337.0,9628.14,132,21448.35,2.23,0.0262,2.22,72.94
Video_Edtech,Video - Edtech,Meta Ads,EdTech,UK,2024-08-18,82271.0,3397.0,1766.44,36,6412.73,3.63,0.0413,0.52,49.07
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,Australia,2024-12-12,30457.0,606.0,351.48,34,4981.94,14.17,0.0199,0.58,10.34
Shopping_E-Commerce,Shopping - E-Commerce,Meta Ads,E-commerce,USA,2024-03-30,11083.0,193.0,160.19,11,912.82,5.7,0.0175,0.83,14.56
Display_Edtech,Display - Edtech,Meta Ads,EdTech,UAE,2024-04-25,6074.0,128.0,193.28,5,1253.71,6.49,0.0212,1.51,38.66
Video_Healthcare,Video - Healthcare,Meta Ads,Healthcare,UK,2024-02-10,141313.0,4762.0,5000.1,207,26737.15,5.35,0.0337,1.05,24.16
Display_E-Commerce,Display - E-Commerce,Meta Ads,E-commerce,Australia,2024-03-17,104714.0,1015.0,943.95,78,20952.03,22.2,0.0097,0.93,12.1
